id,created_at,updated_at,name,price,size,description,feeling,howtouse,badge,category_id
1,2022-03-31 18:09:59.977502,2022-03-31 18:09:59.977515,사과 클렌저,32000.00,60ml,눈 주위의 민감한 피부를 달래고 진정시켜주는 마트리카리아가 포함된 부드러운 오일 제형의 아이 메이크업 리무브,부드러운 진정된,"{""향"": ""허브향, 플로랄, 너티"", ""사용량"": ""한 티스푼과 물 3~5방울"", ""사용법"": ""아침과 저녁, 손바닥에 물과 함께 섞어 밀키한 에멀젼으로 만들어 젖은 얼굴과 목에 마사지 한 후 물로 씻어냅니다."", ""텍스처"": ""수용성, 오일 타입""}",사랑 받는 기프트,1
2,2022-03-31 18:09:59.979123,2022-03-31 18:09:59.979128,오렌지 클렌저,40000.00,200ml,진한 메이크업도 부드럽고 깨끗하게 닦아주는 오일 타입의 클렌저,부드러운 진정된,"{""향"": ""허브향, 스모키, 그린"", ""사용량"": ""반 티스푼 또는 원하는 만큼"", ""사용법"": ""매주 2회, 이솝의 젤 클렌저 혹은 크림 타입의 페이셜 클렌저와 섞어 사용해줍니다. 단, 눈가 주변을 피해주세요."", ""텍스처"": ""굵은 입자가 함유된, 파우더 ""}",종환 MD 추천,1
3,2022-03-31 18:09:59.980008,2022-03-31 18:09:59.980013,딸기 클렌저,10000.00,100ml,"가벼운 메이크업을 지워주고, 피부에 남은 잔여물을 말끔하게 씻어내어 피부를 부드럽고 촉촉하게 가꿔 주는 크림 클렌저",탄력 유연 부드러운,"{""향"": ""허브향, 플로랄, 너티"", ""사용량"": ""단독 사용시 3~5방울 블렌딩 사용시 1~2방울"", ""사용법"": ""매주 3회, 세안 후 토너를 바른 피부에 사용합니다. 나이트 케어로 이솝의 하이드레이터에 섞어 풍부한 수분 공급을 합니다."", ""텍스처"": ""수용성, 오일 타입""}","""""",1
4,2022-03-31 18:09:59.980934,2022-03-31 18:09:59.980938,민트 클렌저,12000.00,100ml,수분 공급을 위한 보태니컬 성분이 함유된 부드러운 타입의 젤 클렌저,상쾌한 진정된 부드러운,"{""향"": ""허브, 플로럴, 상쾌한"", ""사용량"": ""1/4 피펫"", ""사용법"": ""제품을 손에 덜어 아침, 저녁으로 깨끗하게 세안하고 토너로 정돈한 피부에 마사지하듯 발라줍니다."", ""텍스처"": ""가볍고 빠르게 흡수되는 세럼""}","""""",1
5,2022-03-31 18:09:59.981765,2022-03-31 18:09:59.981769,수박 클렌저,17000.00,100ml,부드러운 거품이 피부를 효과적으로 세정하고 피부의 균형을 잡아주는 데일리 클렌저,산뜻한 매끄러운,"{""향"": ""따뜻한, 우디, 유향"", ""사용량"": ""3방울"", ""사용법"": ""아침저녁으로 깨끗하게 세안한 눈가 피부에 가볍게 두드려 발라주고 흡수될 때까지 부드럽게 마사지합니다."", ""텍스처"": ""가벼운 제형의 세럼""}","""""",1
6,2022-03-31 18:09:59.982536,2022-03-31 18:09:59.982541,살구 클렌저,19000.00,200ml,피부의 수분을 빼앗지 않으면서도 모공을 부드럽고 효과적으로 세정해주는 젤 타입 클렌저,산뜻한 매끄러운,"{""향"": ""허브향, 플로랄, 상쾌함"", ""사용량"": ""1-2티스푼"", ""사용법"": ""매주 2회 깨끗하게 클렌징한 피부에 고르게 바릅니다. 마를 때까지 약 15분 정도 기다린 후 따뜻한 물로 세안합니다."", ""텍스처"": ""부드럽고 시원한 클레이""}",데일리 필수품,1
7,2022-03-31 18:09:59.983645,2022-03-31 18:09:59.983649,바나나 클렌저,10000.00,100ml,진정 효과가 뛰어난 보태니컬 성분이 함유되어 순한 데일리 클렌저로 사용하기 적합합니다. 손쉽게 메이크업을 지우고 편안하게 씻어냅니다.,산뜻한 부드러운 상쾌한,"{""향"": ""허브향, 시트러스"", ""사용량"": ""필요한 만큼"", ""사용법"": ""깨끗한 손가락이나 면봉을 사용하여 필요에 따라 바르세요. 하이드레이터 혹은 메이크업 위에도 사용하실 수 있습니다."", ""텍스처"": ""투명한 젤""}","""""",1
8,2022-03-31 18:09:59.984417,2022-03-31 18:09:59.984422,사과 각질 제거,32000.00,60ml,눈 주위의 민감한 피부를 달래고 진정시켜주는 마트리카리아가 포함된 부드러운 오일 제형의 아이 메이크업 리무브,진정된 생기있는,"{""향"": ""허브향, 플로랄, 너티"", ""사용량"": ""한 티스푼과 물 3~5방울"", ""사용법"": ""아침과 저녁, 손바닥에 물과 함께 섞어 밀키한 에멀젼으로 만들어 젖은 얼굴과 목에 마사지 한 후 물로 씻어냅니다."", ""텍스처"": ""수용성, 오일 타입""}","""""",2
9,2022-03-31 18:09:59.985242,2022-03-31 18:09:59.985247,오렌지 각질 제거,40000.00,200ml,진한 메이크업도 부드럽고 깨끗하게 닦아주는 오일 타입의 클렌저,부드러운 진정된,"{""향"": ""허브향, 스모키, 그린"", ""사용량"": ""반 티스푼 또는 원하는 만큼"", ""사용법"": ""매주 2회, 이솝의 젤 클렌저 혹은 크림 타입의 페이셜 클렌저와 섞어 사용해줍니다. 단, 눈가 주변을 피해주세요."", ""텍스처"": ""굵은 입자가 함유된, 파우더 ""}",종환 MD 추천,2
10,2022-03-31 18:09:59.985983,2022-03-31 18:09:59.985988,딸기 각질 제거,10000.00,100ml,"가벼운 메이크업을 지워주고, 피부에 남은 잔여물을 말끔하게 씻어내어 피부를 부드럽고 촉촉하게 가꿔 주는 크림 클렌저",탄력 유연 부드러운,"{""향"": ""허브향, 플로랄, 너티"", ""사용량"": ""단독 사용시 3~5방울 블렌딩 사용시 1~2방울"", ""사용법"": ""매주 3회, 세안 후 토너를 바른 피부에 사용합니다. 나이트 케어로 이솝의 하이드레이터에 섞어 풍부한 수분 공급을 합니다."", ""텍스처"": ""수용성, 오일 타입""}",종환 MD 추천,2
11,2022-03-31 18:09:59.986727,2022-03-31 18:09:59.986731,민트 각질 제거,12000.00,100ml,수분 공급을 위한 보태니컬 성분이 함유된 부드러운 타입의 젤 클렌저,상쾌한 진정된 부드러운,"{""향"": ""허브, 플로럴, 상쾌한"", ""사용량"": ""1/4 피펫"", ""사용법"": ""제품을 손에 덜어 아침, 저녁으로 깨끗하게 세안하고 토너로 정돈한 피부에 마사지하듯 발라줍니다."", ""텍스처"": ""가볍고 빠르게 흡수되는 세럼""}","""""",2
12,2022-03-31 18:09:59.987535,2022-03-31 18:09:59.987540,수박 각질 제거,17000.00,100ml,부드러운 거품이 피부를 효과적으로 세정하고 피부의 균형을 잡아주는 데일리 클렌저,산뜻한 매끄러운,"{""향"": ""따뜻한, 우디, 유향"", ""사용량"": ""3방울"", ""사용법"": ""아침저녁으로 깨끗하게 세안한 눈가 피부에 가볍게 두드려 발라주고 흡수될 때까지 부드럽게 마사지합니다."", ""텍스처"": ""가벼운 제형의 세럼""}",사랑 받는 기프트,2
13,2022-03-31 18:09:59.988258,2022-03-31 18:09:59.988262,살구 각질 제거,19000.00,200ml,피부의 수분을 빼앗지 않으면서도 모공을 부드럽고 효과적으로 세정해주는 젤 타입 클렌저,산뜻한 매끄러운,"{""향"": ""허브향, 플로랄, 상쾌함"", ""사용량"": ""1-2티스푼"", ""사용법"": ""매주 2회 깨끗하게 클렌징한 피부에 고르게 바릅니다. 마를 때까지 약 15분 정도 기다린 후 따뜻한 물로 세안합니다."", ""텍스처"": ""부드럽고 시원한 클레이""}",종환 MD 추천,2
14,2022-03-31 18:09:59.989005,2022-03-31 18:09:59.989010,바나나 각질 제거,10000.00,100ml,진정 효과가 뛰어난 보태니컬 성분이 함유되어 순한 데일리 클렌저로 사용하기 적합합니다. 손쉽게 메이크업을 지우고 편안하게 씻어냅니다.,산뜻한 부드러운 상쾌한,"{""향"": ""허브향, 시트러스"", ""사용량"": ""필요한 만큼"", ""사용법"": ""깨끗한 손가락이나 면봉을 사용하여 필요에 따라 바르세요. 하이드레이터 혹은 메이크업 위에도 사용하실 수 있습니다."", ""텍스처"": ""투명한 젤""}","""""",2
15,2022-03-31 18:09:59.989801,2022-03-31 18:09:59.989806,사과 트리트먼트 & 마스크,32000.00,60ml,눈 주위의 민감한 피부를 달래고 진정시켜주는 마트리카리아가 포함된 부드러운 오일 제형의 아이 메이크업 리무브,진정된 생기있는,"{""향"": ""허브향, 플로랄, 너티"", ""사용량"": ""한 티스푼과 물 3~5방울"", ""사용법"": ""아침과 저녁, 손바닥에 물과 함께 섞어 밀키한 에멀젼으로 만들어 젖은 얼굴과 목에 마사지 한 후 물로 씻어냅니다."", ""텍스처"": ""수용성, 오일 타입""}",사랑받는,3
16,2022-03-31 18:09:59.990578,2022-03-31 18:09:59.990583,오렌지 트리트먼트 & 마스크,40000.00,200ml,진한 메이크업도 부드럽고 깨끗하게 닦아주는 오일 타입의 클렌저,부드러운 진정된,"{""향"": ""허브향, 스모키, 그린"", ""사용량"": ""반 티스푼 또는 원하는 만큼"", ""사용법"": ""매주 2회, 이솝의 젤 클렌저 혹은 크림 타입의 페이셜 클렌저와 섞어 사용해줍니다. 단, 눈가 주변을 피해주세요."", ""텍스처"": ""굵은 입자가 함유된, 파우더 ""}",현영 MD 추천,3
17,2022-03-31 18:09:59.991372,2022-03-31 18:09:59.991377,딸기 트리트먼트 & 마스크,10000.00,100ml,"가벼운 메이크업을 지워주고, 피부에 남은 잔여물을 말끔하게 씻어내어 피부를 부드럽고 촉촉하게 가꿔 주는 크림 클렌저",탄력 유연 부드러운,"{""향"": ""허브향, 플로랄, 너티"", ""사용량"": ""단독 사용시 3~5방울 블렌딩 사용시 1~2방울"", ""사용법"": ""매주 3회, 세안 후 토너를 바른 피부에 사용합니다. 나이트 케어로 이솝의 하이드레이터에 섞어 풍부한 수분 공급을 합니다."", ""텍스처"": ""수용성, 오일 타입""}","""""",3
18,2022-03-31 18:09:59.992143,2022-03-31 18:09:59.992148,민트 트리트먼트 & 마스크,12000.00,100ml,수분 공급을 위한 보태니컬 성분이 함유된 부드러운 타입의 젤 클렌저,상쾌한 진정된 부드러운,"{""향"": ""허브, 플로럴, 상쾌한"", ""사용량"": ""1/4 피펫"", ""사용법"": ""제품을 손에 덜어 아침, 저녁으로 깨끗하게 세안하고 토너로 정돈한 피부에 마사지하듯 발라줍니다."", ""텍스처"": ""가볍고 빠르게 흡수되는 세럼""}",사랑받는,3
19,2022-03-31 18:09:59.992874,2022-03-31 18:09:59.992879,수박 트리트먼트 & 마스크,17000.00,100ml,부드러운 거품이 피부를 효과적으로 세정하고 피부의 균형을 잡아주는 데일리 클렌저,산뜻한 매끄러운,"{""향"": ""따뜻한, 우디, 유향"", ""사용량"": ""3방울"", ""사용법"": ""아침저녁으로 깨끗하게 세안한 눈가 피부에 가볍게 두드려 발라주고 흡수될 때까지 부드럽게 마사지합니다."", ""텍스처"": ""가벼운 제형의 세럼""}","""""",3
20,2022-03-31 18:09:59.993596,2022-03-31 18:09:59.993601,살구 트리트먼트 & 마스크,19000.00,200ml,피부의 수분을 빼앗지 않으면서도 모공을 부드럽고 효과적으로 세정해주는 젤 타입 클렌저,산뜻한 매끄러운,"{""향"": ""허브향, 플로랄, 상쾌함"", ""사용량"": ""1-2티스푼"", ""사용법"": ""매주 2회 깨끗하게 클렌징한 피부에 고르게 바릅니다. 마를 때까지 약 15분 정도 기다린 후 따뜻한 물로 세안합니다."", ""텍스처"": ""부드럽고 시원한 클레이""}","""""",3
21,2022-03-31 18:09:59.994335,2022-03-31 18:09:59.994340,바나나 트리트먼트 & 마스크,10000.00,100ml,진정 효과가 뛰어난 보태니컬 성분이 함유되어 순한 데일리 클렌저로 사용하기 적합합니다. 손쉽게 메이크업을 지우고 편안하게 씻어냅니다.,산뜻한 부드러운 상쾌한,"{""향"": ""허브향, 시트러스"", ""사용량"": ""필요한 만큼"", ""사용법"": ""깨끗한 손가락이나 면봉을 사용하여 필요에 따라 바르세요. 하이드레이터 혹은 메이크업 위에도 사용하실 수 있습니다."", ""텍스처"": ""투명한 젤""}","""""",3
22,2022-03-31 18:09:59.995152,2022-03-31 18:09:59.995156,사과 토너,32000.00,60ml,눈 주위의 민감한 피부를 달래고 진정시켜주는 마트리카리아가 포함된 부드러운 오일 제형의 아이 메이크업 리무브,진정된 생기있는,"{""향"": ""허브향, 플로랄, 너티"", ""사용량"": ""한 티스푼과 물 3~5방울"", ""사용법"": ""아침과 저녁, 손바닥에 물과 함께 섞어 밀키한 에멀젼으로 만들어 젖은 얼굴과 목에 마사지 한 후 물로 씻어냅니다."", ""텍스처"": ""수용성, 오일 타입""}",사랑 받는 기프트,4
23,2022-03-31 18:09:59.995883,2022-03-31 18:09:59.995888,오렌지 토너,40000.00,200ml,진한 메이크업도 부드럽고 깨끗하게 닦아주는 오일 타입의 클렌저,부드러운 진정된,"{""향"": ""허브향, 스모키, 그린"", ""사용량"": ""반 티스푼 또는 원하는 만큼"", ""사용법"": ""매주 2회, 이솝의 젤 클렌저 혹은 크림 타입의 페이셜 클렌저와 섞어 사용해줍니다. 단, 눈가 주변을 피해주세요."", ""텍스처"": ""굵은 입자가 함유된, 파우더 ""}","""""",4
24,2022-03-31 18:09:59.996915,2022-03-31 18:09:59.996919,딸기 토너,10000.00,100ml,"가벼운 메이크업을 지워주고, 피부에 남은 잔여물을 말끔하게 씻어내어 피부를 부드럽고 촉촉하게 가꿔 주는 크림 클렌저",탄력 유연 부드러운,"{""향"": ""허브향, 플로랄, 너티"", ""사용량"": ""단독 사용시 3~5방울 블렌딩 사용시 1~2방울"", ""사용법"": ""매주 3회, 세안 후 토너를 바른 피부에 사용합니다. 나이트 케어로 이솝의 하이드레이터에 섞어 풍부한 수분 공급을 합니다."", ""텍스처"": ""수용성, 오일 타입""}",종환 MD 추천,4
25,2022-03-31 18:09:59.997734,2022-03-31 18:09:59.997738,민트 토너,12000.00,100ml,수분 공급을 위한 보태니컬 성분이 함유된 부드러운 타입의 젤 클렌저,상쾌한 진정된 부드러운,"{""향"": ""허브, 플로럴, 상쾌한"", ""사용량"": ""1/4 피펫"", ""사용법"": ""제품을 손에 덜어 아침, 저녁으로 깨끗하게 세안하고 토너로 정돈한 피부에 마사지하듯 발라줍니다."", ""텍스처"": ""가볍고 빠르게 흡수되는 세럼""}","""""",4
26,2022-03-31 18:09:59.998448,2022-03-31 18:09:59.998453,수박 토너,17000.00,100ml,부드러운 거품이 피부를 효과적으로 세정하고 피부의 균형을 잡아주는 데일리 클렌저,산뜻한 매끄러운,"{""향"": ""따뜻한, 우디, 유향"", ""사용량"": ""3방울"", ""사용법"": ""아침저녁으로 깨끗하게 세안한 눈가 피부에 가볍게 두드려 발라주고 흡수될 때까지 부드럽게 마사지합니다."", ""텍스처"": ""가벼운 제형의 세럼""}",신제품,4
27,2022-03-31 18:09:59.999169,2022-03-31 18:09:59.999174,살구 토너,19000.00,200ml,피부의 수분을 빼앗지 않으면서도 모공을 부드럽고 효과적으로 세정해주는 젤 타입 클렌저,산뜻한 매끄러운,"{""향"": ""허브향, 플로랄, 상쾌함"", ""사용량"": ""1-2티스푼"", ""사용법"": ""매주 2회 깨끗하게 클렌징한 피부에 고르게 바릅니다. 마를 때까지 약 15분 정도 기다린 후 따뜻한 물로 세안합니다."", ""텍스처"": ""부드럽고 시원한 클레이""}",신제품,4
28,2022-03-31 18:10:00.000757,2022-03-31 18:10:00.000762,바나나 토너,10000.00,100ml,진정 효과가 뛰어난 보태니컬 성분이 함유되어 순한 데일리 클렌저로 사용하기 적합합니다. 손쉽게 메이크업을 지우고 편안하게 씻어냅니다.,산뜻한 부드러운 상쾌한,"{""향"": ""허브향, 시트러스"", ""사용량"": ""필요한 만큼"", ""사용법"": ""깨끗한 손가락이나 면봉을 사용하여 필요에 따라 바르세요. 하이드레이터 혹은 메이크업 위에도 사용하실 수 있습니다."", ""텍스처"": ""투명한 젤""}","""""",4
29,2022-03-31 18:10:00.001533,2022-03-31 18:10:00.001538,사과 하이드레이터,32000.00,60ml,눈 주위의 민감한 피부를 달래고 진정시켜주는 마트리카리아가 포함된 부드러운 오일 제형의 아이 메이크업 리무브,진정된 생기있는,"{""향"": ""허브향, 플로랄, 너티"", ""사용량"": ""한 티스푼과 물 3~5방울"", ""사용법"": ""아침과 저녁, 손바닥에 물과 함께 섞어 밀키한 에멀젼으로 만들어 젖은 얼굴과 목에 마사지 한 후 물로 씻어냅니다."", ""텍스처"": ""수용성, 오일 타입""}","""""",5
30,2022-03-31 18:10:00.002294,2022-03-31 18:10:00.002299,오렌지 하이드레이터,40000.00,200ml,진한 메이크업도 부드럽고 깨끗하게 닦아주는 오일 타입의 클렌저,부드러운 진정된,"{""향"": ""허브향, 스모키, 그린"", ""사용량"": ""반 티스푼 또는 원하는 만큼"", ""사용법"": ""매주 2회, 이솝의 젤 클렌저 혹은 크림 타입의 페이셜 클렌저와 섞어 사용해줍니다. 단, 눈가 주변을 피해주세요."", ""텍스처"": ""굵은 입자가 함유된, 파우더 ""}",사랑받는,5
31,2022-03-31 18:10:00.003074,2022-03-31 18:10:00.003079,딸기 하이드레이터,10000.00,100ml,"가벼운 메이크업을 지워주고, 피부에 남은 잔여물을 말끔하게 씻어내어 피부를 부드럽고 촉촉하게 가꿔 주는 크림 클렌저",탄력 유연 부드러운,"{""향"": ""허브향, 플로랄, 너티"", ""사용량"": ""단독 사용시 3~5방울 블렌딩 사용시 1~2방울"", ""사용법"": ""매주 3회, 세안 후 토너를 바른 피부에 사용합니다. 나이트 케어로 이솝의 하이드레이터에 섞어 풍부한 수분 공급을 합니다."", ""텍스처"": ""수용성, 오일 타입""}",현영 MD 추천,5
32,2022-03-31 18:10:00.003891,2022-03-31 18:10:00.003896,민트 하이드레이터,12000.00,100ml,수분 공급을 위한 보태니컬 성분이 함유된 부드러운 타입의 젤 클렌저,상쾌한 진정된 부드러운,"{""향"": ""허브, 플로럴, 상쾌한"", ""사용량"": ""1/4 피펫"", ""사용법"": ""제품을 손에 덜어 아침, 저녁으로 깨끗하게 세안하고 토너로 정돈한 피부에 마사지하듯 발라줍니다."", ""텍스처"": ""가볍고 빠르게 흡수되는 세럼""}","""""",5
33,2022-03-31 18:10:00.004711,2022-03-31 18:10:00.004716,수박 하이드레이터,17000.00,100ml,부드러운 거품이 피부를 효과적으로 세정하고 피부의 균형을 잡아주는 데일리 클렌저,산뜻한 매끄러운,"{""향"": ""따뜻한, 우디, 유향"", ""사용량"": ""3방울"", ""사용법"": ""아침저녁으로 깨끗하게 세안한 눈가 피부에 가볍게 두드려 발라주고 흡수될 때까지 부드럽게 마사지합니다."", ""텍스처"": ""가벼운 제형의 세럼""}",사랑 받는 기프트,5
34,2022-03-31 18:10:00.005790,2022-03-31 18:10:00.005795,살구 하이드레이터,19000.00,200ml,피부의 수분을 빼앗지 않으면서도 모공을 부드럽고 효과적으로 세정해주는 젤 타입 클렌저,산뜻한 매끄러운,"{""향"": ""허브향, 플로랄, 상쾌함"", ""사용량"": ""1-2티스푼"", ""사용법"": ""매주 2회 깨끗하게 클렌징한 피부에 고르게 바릅니다. 마를 때까지 약 15분 정도 기다린 후 따뜻한 물로 세안합니다."", ""텍스처"": ""부드럽고 시원한 클레이""}","""""",5
35,2022-03-31 18:10:00.006527,2022-03-31 18:10:00.006532,바나나 하이드레이터,10000.00,100ml,진정 효과가 뛰어난 보태니컬 성분이 함유되어 순한 데일리 클렌저로 사용하기 적합합니다. 손쉽게 메이크업을 지우고 편안하게 씻어냅니다.,산뜻한 부드러운 상쾌한,"{""향"": ""허브향, 시트러스"", ""사용량"": ""필요한 만큼"", ""사용법"": ""깨끗한 손가락이나 면봉을 사용하여 필요에 따라 바르세요. 하이드레이터 혹은 메이크업 위에도 사용하실 수 있습니다."", ""텍스처"": ""투명한 젤""}","""""",5
36,2022-03-31 18:10:00.007283,2022-03-31 18:10:00.007288,사과 립밤,32000.00,60ml,눈 주위의 민감한 피부를 달래고 진정시켜주는 마트리카리아가 포함된 부드러운 오일 제형의 아이 메이크업 리무브,진정된 생기있는,"{""향"": ""허브향, 플로랄, 너티"", ""사용량"": ""한 티스푼과 물 3~5방울"", ""사용법"": ""아침과 저녁, 손바닥에 물과 함께 섞어 밀키한 에멀젼으로 만들어 젖은 얼굴과 목에 마사지 한 후 물로 씻어냅니다."", ""텍스처"": ""수용성, 오일 타입""}",신제품,6
37,2022-03-31 18:10:00.008012,2022-03-31 18:10:00.008017,오렌지 립밤,40000.00,200ml,진한 메이크업도 부드럽고 깨끗하게 닦아주는 오일 타입의 클렌저,부드러운 진정된,"{""향"": ""허브향, 스모키, 그린"", ""사용량"": ""반 티스푼 또는 원하는 만큼"", ""사용법"": ""매주 2회, 이솝의 젤 클렌저 혹은 크림 타입의 페이셜 클렌저와 섞어 사용해줍니다. 단, 눈가 주변을 피해주세요."", ""텍스처"": ""굵은 입자가 함유된, 파우더 ""}",신제품,6
38,2022-03-31 18:10:00.008748,2022-03-31 18:10:00.008753,딸기 립밤,10000.00,100ml,"가벼운 메이크업을 지워주고, 피부에 남은 잔여물을 말끔하게 씻어내어 피부를 부드럽고 촉촉하게 가꿔 주는 크림 클렌저",탄력 유연 부드러운,"{""향"": ""허브향, 플로랄, 너티"", ""사용량"": ""단독 사용시 3~5방울 블렌딩 사용시 1~2방울"", ""사용법"": ""매주 3회, 세안 후 토너를 바른 피부에 사용합니다. 나이트 케어로 이솝의 하이드레이터에 섞어 풍부한 수분 공급을 합니다."", ""텍스처"": ""수용성, 오일 타입""}","""""",6
